plate,owner,vehicle,status
WB20AB1234,Supriyo De,Hyundai i20,Registered
WB06CD5678,Rahul Das,Tata Nexon,Registered
WB12EF9012,Amit Roy,Maruti Swift,Registered
WB18GH3456,Soumya Ghosh,Hyundai Creta,Registered
WB24JK7890,Sayan Sen,Kia Sonet,Registered
KA02MP9657,Rohan Kumar,Kia Sonet,Registered
KA05AB1234,Arjun Rao,Hyundai Venue,Registered
KA51CD5678,Vikram Shetty,Toyota Innova,Registered
TN87C5106,Rajesh Kumar,Hyundai i20 N Line,Registered
TN10AA1122,Karthik S,Honda City,Registered
MH12DE1433,Rohit Patil,Mahindra Scorpio N,Registered
MH14AB9988,Akash Jadhav,Tata Harrier,Registered
DL01AA9999,Ankit Sharma,Maruti Swift,Registered
DL08BC1234,Deepak Verma,Hyundai Verna,Registered
UP32AB1111,Rakesh Singh,Tata Punch,Registered
 EYO9GVTS,Raghu, Registered
UP14CD2222,Manish Yadav,Mahindra XUV700,Registered
GJ01AB4567,Harsh Patel,MG Hector,Registered
GJ05XY9087,Meet Shah,Toyota Fortuner,Registered
RJ14AB3344,Rajveer Singh,Hyundai Alcazar,Registered
RJ45XY7788,Vikas Choudhary,Maruti Brezza,Registered
PB10AB5555,Gurpreet Singh,Mahindra Bolero,Registered
PB65CD8888,Harpreet Gill,Tata Safari,Registered
HR26DD0585,Ajay Malik,Honda City,Registered
HR98AB1122,Sumit Dahiya,Kia Seltos,Registered
CG04XY6789,Neeraj Sahu,Tata Tiago,Registered
BR01AB2020,Pankaj Kumar,Maruti Baleno,Registered
JH05CD3030,Abhishek Sinha,Hyundai Exter,Registered
OD02EF4040,Prakash Nayak,Mahindra Thar,Registered
AS01GH5050,Rahul Bora,Toyota Glanza,Registered
KL07JK6060,Anil Nair,Hyundai Grand i10,Registered
TS09MN7070,Sai Kumar,Skoda Slavia,Registered
AP16PQ8080,Ram Krishna,Volkswagen Virtus,Registered
CH01AB9090,Aman Gupta,Tata Altroz,Registered
JK02CD1112,Imran Khan,Maruti Ertiga,Registered
UK07EF1314,Mohan Bisht,Hyundai Aura,Registered
GA03GH1516,Anthony Dsouza,Kia Carens,Registered
ML05JK1718,Ricky Lyngdoh,Mahindra XUV300,Registered
MN01LM1910,David Meitei,Tata Nexon EV,Registered
NL07NP2122,Imkong Jamir,Toyota Hilux,Registered
TR03QR2324,Biswajit Deb,Hyundai Tucson,Registered
